"sep=,"
Rows,Cols,Distance,PathLen,Success,Death,Count
5,5,1,5,False,True,59
5,5,3,5,False,True,52
5,5,4,5,False,True,62
5,5,4,5,True,False,777
5,5,2,5,False,True,51
5,8,3,4,True,False,879
5,8,2,4,False,True,58
5,8,1,4,False,True,38
5,8,3,4,False,True,26
5,11,6,7,True,False,724
5,11,3,7,False,True,50
5,11,6,7,False,True,42
5,11,1,7,False,True,93
5,11,5,7,False,True,24
5,11,4,7,False,True,51
5,11,2,7,False,True,17
5,14,3,4,True,False,871
5,14,1,4,False,True,48
5,14,3,4,False,True,20
5,14,2,4,False,True,62
5,17,2,5,False,True,68
5,17,4,5,True,False,826
5,17,3,5,False,True,65
5,17,1,5,False,True,31
5,17,4,5,False,True,11
8,5,2,5,False,True,80
8,5,4,5,True,False,719
8,5,1,5,False,True,104
8,5,4,5,False,True,26
8,5,3,5,False,True,72
8,8,1,2,True,False,972
8,8,1,2,False,True,29
8,11,2,3,True,False,942
8,11,1,3,False,True,26
8,11,2,3,False,True,33
8,14,4,5,True,False,908
8,14,1,5,False,True,45
8,14,2,5,False,True,23
8,14,3,5,False,True,14
8,14,4,5,False,True,11
8,17,8,9,True,False,816
8,17,1,9,False,True,40
8,17,7,9,False,True,38
8,17,2,9,False,True,30
8,17,8,9,False,True,7
8,17,3,9,False,True,23
8,17,5,9,False,True,13
8,17,6,9,False,True,10
8,17,4,9,False,True,24
11,5,2,3,False,True,21
11,5,2,3,True,False,883
11,5,1,3,False,True,97
11,8,5,6,True,False,888
11,8,1,6,False,True,34
11,8,4,6,False,True,25
11,8,2,6,False,True,22
11,8,3,6,False,True,20
11,8,5,6,False,True,12
11,11,10,11,True,False,868
11,11,3,11,False,True,18
11,11,7,11,False,True,14
11,11,2,11,False,True,15
11,11,1,11,False,True,10
11,11,4,11,False,True,15
11,11,5,11,False,True,17
11,11,9,11,False,True,15
11,11,8,11,False,True,10
11,11,10,11,False,True,13
11,11,6,11,False,True,6
11,14,4,5,True,False,958
11,14,1,5,False,True,9
11,14,4,5,False,True,9
11,14,3,5,False,True,10
11,14,2,5,False,True,15
11,17,7,8,True,False,932
11,17,1,8,False,True,4
11,17,5,8,False,True,12
11,17,3,8,False,True,18
11,17,4,8,False,True,12
11,17,7,8,False,True,7
11,17,2,8,False,True,11
11,17,6,8,False,True,5
14,5,2,3,True,False,873
14,5,1,3,False,True,96
14,5,2,3,False,True,32
14,8,7,8,True,False,878
14,8,2,8,False,True,38
14,8,3,8,False,True,9
14,8,5,8,False,True,24
14,8,7,8,False,True,20
14,8,4,8,False,True,11
14,8,1,8,False,True,8
14,8,6,8,False,True,13
14,11,5,6,True,False,953
14,11,1,6,False,True,8
14,11,4,6,False,True,12
14,11,3,6,False,True,7
14,11,2,6,False,True,12
14,11,5,6,False,True,9
14,14,8,9,True,False,948
14,14,6,9,False,True,8
14,14,7,9,False,True,7
14,14,5,9,False,True,9
14,14,4,9,False,True,6
14,14,2,9,False,True,9
14,14,3,9,False,True,8
14,14,8,9,False,True,2
14,14,1,9,False,True,4
14,17,4,5,True,False,975
14,17,1,5,False,True,8
14,17,2,5,False,True,8
14,17,3,5,False,True,3
14,17,4,5,False,True,7
17,5,1,3,False,True,148
17,5,2,3,True,False,837
17,5,2,3,False,True,16
17,8,3,4,True,False,941
17,8,1,4,False,True,41
17,8,2,4,False,True,9
17,8,3,4,False,True,10
17,11,2,3,True,False,973
17,11,1,3,False,True,20
17,11,2,3,False,True,8
17,14,19,20,True,False,861
17,14,18,20,False,True,7
17,14,8,20,False,True,5
17,14,4,20,False,True,7
17,14,2,20,False,True,13
17,14,13,20,False,True,5
17,14,11,20,False,True,9
17,14,19,20,False,True,6
17,14,16,20,False,True,7
17,14,5,20,False,True,6
17,14,9,20,False,True,15
17,14,3,20,False,True,8
17,14,7,20,False,True,7
17,14,1,20,False,True,15
17,14,17,20,False,True,5
17,14,10,20,False,True,4
17,14,6,20,False,True,6
17,14,15,20,False,True,9
17,14,12,20,False,True,5
17,14,14,20,False,True,1
17,17,18,19,True,False,915
17,17,1,19,False,True,5
17,17,11,19,False,True,6
17,17,12,19,False,True,3
17,17,5,19,False,True,10
17,17,14,19,False,True,8
17,17,17,19,False,True,8
17,17,4,19,False,True,3
17,17,6,19,False,True,5
17,17,9,19,False,True,2
17,17,7,19,False,True,4
17,17,2,19,False,True,3
17,17,15,19,False,True,4
17,17,8,19,False,True,5
17,17,18,19,False,True,4
17,17,13,19,False,True,5
17,17,10,19,False,True,6
17,17,16,19,False,True,2
17,17,3,19,False,True,3
